canonical_name,canonical_slug,category,culinary_group
Thai Eggplant,thai-eggplant,Vegetable,Fruiting Vegetable
Tomatillo,tomatillo,Vegetable,Fruiting Vegetable
Tomato,tomato,Vegetable,Fruiting Vegetable
Baby Corn,baby-corn,Vegetable,Grain
Sweet Corn,sweet-corn,Vegetable,Grain
Amaranth Greens,amaranth-greens,Vegetable,Leafy Green
Arugula,arugula,Vegetable,Leafy Green
Beet greens,beet-greens,Vegetable,Leafy Green
Chicory,chicory,Vegetable,Leafy Green
Chrysanthemum Leaves,chrysanthemum-leaves,Vegetable,Leafy Green
Collard Greens,collard-greens,Vegetable,Leafy Green
Dandelion Greens,dandelion-greens,Vegetable,Leafy Green
Endive,endive,Vegetable,Leafy Green
Escarole,escarole,Vegetable,Leafy Green
Frisee,frisee,Vegetable,Leafy Green
Kale,kale,Vegetable,Leafy Green
Lettuce,lettuce,Vegetable,Leafy Green
Mache,mache,Vegetable,Leafy Green
Mizuna,mizuna,Vegetable,Leafy Green
Mustard Greens,mustard-greens,Vegetable,Leafy Green
Pea Shoot,pea-shoot,Vegetable,Leafy Green
Purslane,purslane,Vegetable,Leafy Green
Radicchio,radicchio,Vegetable,Leafy Green
Sorrel,sorrel,Vegetable,Leafy Green
Spinach,spinach,Vegetable,Leafy Green
Swiss Chard,swiss-chard,Vegetable,Leafy Green
Taro leaves,taro-leaves,Vegetable,Leafy Green
Turnip Greens,turnip-greens,Vegetable,Leafy Green
Upland cress,upland-cress,Vegetable,Leafy Green
Water Spinach,water-spinach,Vegetable,Leafy Green
Watercress,watercress,Vegetable,Leafy Green
Blackeye Pea,blackeye-pea,Vegetable,Legume
Chinese Long Bean,chinese-long-bean,Vegetable,Legume
English peas,english-pea,Vegetable,Legume
Fava Bean,fava-bean,Vegetable,Legume
Garbanzo beans,fresh-garbanzo-beans,Vegetable,Legume
Green Bean,green-bean,Vegetable,Legume
Hyacinth beans,hyacinth-beans,Vegetable,Legume
Lima Bean,lima-bean,Vegetable,Legume
Snap Pea,snap-pea,Vegetable,Legume
Snow Pea,snow-pea,Vegetable,Legume
Winged Bean,winged-bean,Vegetable,Legume
Arrowroot,arrowroot,Vegetable,Root/Tuber
Beet,beet,Vegetable,Root/Tuber
Black Radish,black-radish,Vegetable,Root/Tuber
Burdock Root,burdock-root,Vegetable,Root/Tuber
Carrot,carrot,Vegetable,Root/Tuber
Cassava,cassava,Vegetable,Root/Tuber
Celeriac,celery-root,Vegetable,Root/Tuber
Chioggia beet,chioggia-beet,Vegetable,Root/Tuber
Daikon Radish,daikon-radish,Vegetable,Root/Tuber
Golden beet,golden-beet,Vegetable,Root/Tuber
Horseradish root,horseradish-root,Vegetable,Root/Tuber
Jicama,jicama,Vegetable,Root/Tuber
Lotus Root,lotus-root,Vegetable,Root/Tuber
Parsnip,parsnip,Vegetable,Root/Tuber
Potato,potato,Vegetable,Root/Tuber
Radish,radish,Vegetable,Root/Tuber
Rutabaga,rutabaga,Vegetable,Root/Tuber
Salsify,salsify,Vegetable,Root/Tuber
Sunchoke,sunchoke,Vegetable,Root/Tuber
Orange Sweet Potato,orange-sweet-potato,Vegetable,Root/Tuber
Japanese Sweet Potato,japanese-sweet-potato,Vegetable,Root/Tuber
Okinawan Sweet Potato,okinawan-sweet-potato,Vegetable,Root/Tuber
White Sweet Potato,white-sweet-potato,Vegetable,Root/Tuber
Taro,taro,Vegetable,Root/Tuber
Turnip,turnip,Vegetable,Root/Tuber
Water Chestnut,water-chestnut,Vegetable,Root/Tuber
Watermelon Radish,watermelon-radish,Vegetable,Root/Tuber
Yam,yam,Vegetable,Root/Tuber
Asparagus,asparagus,Vegetable,Stem/Stalk
Bamboo Shoot,bamboo-shoot,Vegetable,Stem/Stalk
Cardoon,cardoon,Vegetable,Stem/Stalk
Celery,celery,Vegetable,Stem/Stalk
Chinese Celery,chinese-celery,Vegetable,Stem/Stalk
Fiddlehead ferns,fiddlehead-ferns,Vegetable,Stem/Stalk
Hearts of palm,hearts-of-palm,Vegetable,Stem/Stalk
Nopales,nopales,Vegetable,Stem/Stalk
Rhubarb,rhubarb,Vegetable,Stem/Stalk
Sea Bean,sea-bean,Vegetable,Stem/Stalk
Corn,corn,Vegetable,Grain
Green Garlic,green-garlic,Vegetable,Allium
Cactus Pad,cactus-pad,Vegetable,"Stem/Stalk"
Cactus Pear,cactus-pear,Fruit,Tropical Fruit
White Peach,white-peach,Fruit,Stone Fruit
Donut Peach,donut-peach,Fruit,Stone Fruit
Aprium,aprium,Fruit,Stone Fruit
